time,longitude,latitude,mag,depth
2013-03-06 05:15:00,121.44,24.33,3.5,7.2
2013-03-06 19:45:00,121.97,24.44,4.4,13.4
2013-03-07 06:30:00,122.1,24.61,4.7,69.8
2013-03-07 07:30:00,121.93,24.44,3.0,14.2
2013-03-07 09:30:00,121.44,24.3,3.1,6.6
2013-03-07 11:30:00,121.46,24.3,5.9,5.6
2013-03-07 11:45:00,121.44,24.28,3.4,7.2
2013-03-07 12:00:00,121.44,24.34,3.7,6.9
2013-03-07 12:15:00,121.44,24.28,3.6,6.9
2013-03-07 12:45:00,121.44,24.28,4.3,7.2
2013-03-07 13:00:00,121.45,24.33,3.1,5.9
2013-03-07 13:15:00,121.44,24.28,2.9,7.2
2013-03-07 14:45:00,121.44,24.29,3.3,6.8
2013-03-07 15:00:00,121.43,24.29,3.9,7.4
2013-03-07 15:15:00,121.43,24.34,2.9,6.5
2013-03-07 15:45:00,121.44,24.35,4.0,7.7
2013-03-07 16:00:00,121.45,24.34,4.6,6.0
2013-03-07 17:45:00,121.44,24.35,3.1,7.2
2013-03-07 19:00:00,121.44,24.35,3.8,6.3
2013-03-07 20:30:00,121.44,24.29,3.2,6.6
2013-03-08 08:15:00,121.47,24.3,2.9,7.7
2013-03-08 09:45:00,121.43,24.31,3.5,7.6
2013-03-08 17:00:00,121.43,24.3,3.4,6.9
2013-03-08 19:15:00,121.43,24.33,3.0,7.3
2013-03-08 21:45:00,121.97,24.45,3.2,13.7
2013-03-09 07:45:00,121.56,23.74,3.1,20.4
2013-03-09 17:15:00,121.47,23.94,3.2,17.5
2013-03-10 16:00:00,121.45,24.32,3.8,5.8
2013-03-11 03:45:00,121.95,24.47,3.0,12.6
2013-03-11 04:45:00,121.45,24.29,3.2,7.3
2013-03-11 11:30:00,121.45,24.32,3.4,6.7
2013-03-11 11:45:00,121.48,24.31,2.9,7.3
2013-03-12 09:15:00,121.45,24.35,3.3,6.3
2013-03-12 10:30:00,121.43,24.33,3.2,5.9
2013-03-12 11:00:00,121.43,24.34,3.2,6.6
2013-03-12 12:00:00,121.95,24.46,3.1,12.2
2013-03-12 12:30:00,120.87,22.82,3.1,6.2
2013-03-12 14:00:00,121.45,24.34,3.6,6.2
2013-03-12 15:15:00,121.44,24.34,3.3,6.7
2013-03-12 17:00:00,121.78,24.36,5.0,51.9
2013-03-13 08:45:00,121.47,24.35,3.6,7.9
2013-03-13 09:00:00,121.47,24.35,3.9,8.0
2013-03-13 11:45:00,121.81,24.17,4.4,9.8
2013-03-13 18:00:00,121.44,24.28,2.7,6.9
2013-03-13 18:30:00,121.8,24.17,3.8,11.0
2013-03-13 22:00:00,121.44,24.32,3.1,6.2
2013-03-14 09:45:00,121.92,24.41,4.0,26.6
2013-03-16 02:30:00,121.42,24.3,3.2,7.6
2013-03-16 04:00:00,121.68,24.13,2.5,9.8
2013-03-17 07:15:00,121.46,24.32,3.0,6.3
2013-03-17 09:15:00,120.76,23.13,2.7,5.0
2013-03-17 18:00:00,121.95,24.46,3.2,13.5
2013-03-17 21:45:00,120.93,23.68,4.4,12.3
2013-03-19 05:00:00,121.65,24.03,3.6,30.4
2013-03-19 10:45:00,121.71,23.93,3.5,7.9
2013-03-19 20:45:00,121.44,24.28,3.2,6.8
2013-03-20 14:00:00,120.85,22.65,3.6,8.6
2013-03-20 15:15:00,121.95,24.45,4.6,12.1
2013-03-20 17:15:00,121.95,24.45,3.2,10.3
2013-03-21 00:30:00,121.95,24.45,2.9,12.5
2013-03-21 15:30:00,121.05,22.78,2.6,5.0
2013-03-21 18:45:00,121.05,22.78,2.3,4.5
2013-03-23 06:30:00,121.44,23.84,2.9,19.3
2013-03-23 13:15:00,121.96,24.46,3.0,13.4
2013-03-24 13:45:00,121.44,22.87,3.2,17.6
2013-03-25 13:15:00,121.69,24.01,3.6,38.0
2013-03-26 00:15:00,121.95,24.46,2.9,12.4
2013-03-26 11:15:00,121.47,24.35,3.2,5.9
2013-03-27 04:45:00,121.89,24.46,3.0,20.8
2013-03-27 10:00:00,121.05,23.9,6.2,19.4
2013-03-27 10:15:00,121.03,23.89,3.8,17.1
2013-03-27 11:30:00,121.0,23.93,4.5,14.0
2013-03-27 12:00:00,121.02,23.96,3.7,15.1
2013-03-27 23:45:00,121.74,24.27,2.6,14.7
2013-03-28 02:45:00,120.99,23.93,4.0,13.1
2013-03-28 03:30:00,121.8,24.25,3.0,16.3
